"Novads","Statuss","DzNor","DzDekl","DzReg","NavSpeka","Kopa"
"DAGDAS NOVADS","LATVIJAS BĒGLIS",0,0,0,0,0
"DAGDAS NOVADS","LATVIJAS BEZVALSTNIEKS",0,0,0,0,0
"DAGDAS NOVADS","LATVIJAS ALTERNATĪVAIS",0,0,0,0,0
"DAGDAS NOVADS","PĀRĒJIE",0,121,0,0,121
"DAUGAVPILS NOVADS","LATVIJAS PILSONIS",1,19494,3,180,19678
"DAUGAVPILS NOVADS","LATVIJAS PAGAIDU AIZSARDZĪBA",0,0,0,0,0
"DAUGAVPILS NOVADS","LATVIJAS NEPILSONIS",0,2677,0,45,2722
"DAUGAVPILS NOVADS","LATVIJAS BĒGLIS",0,0,0,0,0
"DAUGAVPILS NOVADS","LATVIJAS BEZVALSTNIEKS",0,1,0,0,1
"DAUGAVPILS NOVADS","LATVIJAS ALTERNATĪVAIS",0,0,0,0,0
"DAUGAVPILS NOVADS","PĀRĒJIE",0,832,0,3,835
"DOBELES NOVADS","LATVIJAS PILSONIS",0,18762,1,288,19051
"DOBELES NOVADS","LATVIJAS PAGAIDU AIZSARDZĪBA",0,0,0,0,0
"DOBELES NOVADS","LATVIJAS NEPILSONIS",0,1916,0,44,1960
"DOBELES NOVADS","LATVIJAS BĒGLIS",0,0,0,0,0
"DOBELES NOVADS","LATVIJAS BEZVALSTNIEKS",0,2,0,0,2
"DOBELES NOVADS","LATVIJAS ALTERNATĪVAIS",0,0,0,0,0
"DOBELES NOVADS","PĀRĒJIE",0,294,0,17,311
"DUNDAGAS NOVADS","LATVIJAS PILSONIS",2,3973,1,23,3999
"DUNDAGAS NOVADS","LATVIJAS PAGAIDU AIZSARDZĪBA",0,0,0,0,0
"DUNDAGAS NOVADS","LATVIJAS NEPILSONIS",0,56,0,0,56
"DUNDAGAS NOVADS","LATVIJAS BĒGLIS",0,0,0,0,0
"DUNDAGAS NOVADS","LATVIJAS BEZVALSTNIEKS",0,0,0,0,0
"DUNDAGAS NOVADS","LATVIJAS ALTERNATĪVAIS",0,0,0,0,0
"DUNDAGAS NOVADS","PĀRĒJIE",0,15,0,1,16
"DURBES NOVADS","LATVIJAS PILSONIS",0,2798,1,24,2823
"DURBES NOVADS","LATVIJAS PAGAIDU AIZSARDZĪBA",0,0,0,0,0
"DURBES NOVADS","LATVIJAS NEPILSONIS",0,74,0,1,75
"DURBES NOVADS","LATVIJAS BĒGLIS",0,0,0,0,0
"DURBES NOVADS","LATVIJAS BEZVALSTNIEKS",0,0,0,0,0
"DURBES NOVADS","LATVIJAS ALTERNATĪVAIS",0,0,0,0,0
"DURBES NOVADS","PĀRĒJIE",0,13,0,0,13
"ENGURES NOVADS","LATVIJAS PILSONIS",2,6991,0,48,7041
"ENGURES NOVADS","LATVIJAS PAGAIDU AIZSARDZĪBA",0,0,0,0,0
"ENGURES NOVADS","LATVIJAS NEPILSONIS",0,261,0,12,273
"ENGURES NOVADS","LATVIJAS BĒGLIS",0,1,0,0,1
"ENGURES NOVADS","LATVIJAS BEZVALSTNIEKS",0,0,0,0,0
"ENGURES NOVADS","LATVIJAS ALTERNATĪVAIS",0,0,0,0,0
