"Krajums","Pamatforma","Pamatkrasa","Vardforma","Locijums","Piemers"
"TNZV","sārts","pink","sārtos","MIPL","Bet savu dvēseli viņš tālāk nesa\textbackslash{} Kā rīta sauli {\bf sārtos} mākoņos\\"
"TNZV","sārts","pink","sārtais","MDSN","Mans {\bf sārtais} ziediņš, mans vientulīts,\textbackslash{} Kas mīļā saulē plaucis\\"
"TNZV","sārts","pink","sārtais","MDSN","Mans {\bf sārtais} ziediņš, starodams\textbackslash{} Tu saulīti sirdī man nesi\\"
"TNZV","sārtoties","pink","sārtojas","verb","Jūs esat skaistās lauka lilijas. -\textbackslash{} Kā viņas zied un {\bf sārtojas}!\\"
"TNZV","sārtoties","pink","sārtojas","verb","Tu izplēt viņus smiedamās:\textbackslash{} Desmitstaraina austriņa {\bf sārtojas}\\"
"TNZV","sārtoties","pink","sārtojas","verb","Viss, ko tā teic, tiek tūdaļ izpildīts,\textbackslash{} Līdz zeme pārplūzdama {\bf sārtojas}\textbackslash{} Un asins atspīd debesīs kā blāzma.\\"
"TNZV","pelēks","lightgray","pelēka","FISN","Tā patiesa dzīve bez apsega:\textbackslash{} {\bf Pelēka}, netīra, pūstoša\\"
"TNZV","pelēks","lightgray","pelēks","MISN","Sen saule aug, sen gaisi silst,\textbackslash{} Sen marta ledus {\bf pelēks} dilst\\"
"TNZV","pus-pelēks","lightgray","pus-pelēks","MISN","{\bf Pus-pelēks} un pus-tumši zils\textbackslash{} Spīd ūdens pretī debess jumam\\"
"TNZV","pelēkzīds","lightgray","pelēkzīda","noun","Vēsmas drēbe\textbackslash{} {\bf Pelēkzīda},\textbackslash{} Miglas šūta;\textbackslash{}\textbackslash{} Pērļu smaga\textbackslash{} Vīle velkas,\textbackslash{} Liecas rūta\\[10px]"
"DzL","melns","black","melnai","FISD","Rīti.\textbackslash{} {\bf Melnai} pusnaktij dzimušie bērni\textbackslash{} Iet no loga pie loga,\textbackslash{} Un Rīgai logu ir daudz\\"
"DzL","melns","black","melnu","FISA","Un kāpēc man visu\textbackslash{} Pa {\bf melnu} nakti,\textbackslash{} Pa šautriem sapņiem\textbackslash{} Vajag izdomāt, izdomāt, izdomāt\\"
"DzL","melns","black","melnā","FDSN","Un neatsedzas\textbackslash{} Ne trauks, no kā lej,\textbackslash{} Ne {\bf melnā} kapuce,\textbackslash{} Zem kuras slēpjas\textbackslash{} Tā draudīgā seja\\"
"DzL","melns","black","melno","FDSA","Kā sev no atmiņas un acīm izsviest\textbackslash{} To balto, sarmas mež\v{g}īņoto rītu\textbackslash{} Un {\bf melno} kara hospitāļa bedri\\"
"DzL","melns","black","melnās","FDPN","Jo bedrē bija sasviests juku jukām\textbackslash{} Gan asiņainas marles {\bf melnās} skrandas,\textbackslash{} Gan kaut kas sarkans, notraipīts ar brūnu\\"
"DzL","melns","black","melns","MISN","Tad dienu baržas ---\textbackslash{} Smagi krautās baržas ---\textbackslash{} {\bf Melns}, miris ūdens\textbackslash{} Var tālāk vest\\"
"DzL","melns","black","melnajiem","MDPD","Stiepjas vilcienu stigas\textbackslash{} Ar gulšņu {\bf melnajiem} taustiņiem,\textbackslash{} Stiepjas tālruņa vadu\textbackslash{} Tūkstoš vijoļu stīgas\\"
"DzL","balts","white","balta","FISN","Tu teici,\textbackslash{} Ka paliksi {\bf balta}, ---\textbackslash{} Un dzīvosi\textbackslash{} Mirkli\\"
