Location,Category,Pointing,Declaring,Registering,RegistrationNotValid,Total
TUKUMA NOVADS,Preschool.All,29,2328,4,12,2373
TUKUMA NOVADS,Preschool.Males,16,1226,2,8,1252
TUKUMA NOVADS,Preschool.Females,13,1102,2,4,1121
TUKUMA NOVADS,School.All,28,3611,10,57,3706
TUKUMA NOVADS,School.Males,19,1845,5,34,1903
TUKUMA NOVADS,School.Females,9,1766,5,23,1803
TUKUMA NOVADS,Children.All,57,5939,14,69,6079
VAIŅODES NOVADS,Preschool.All,0,165,0,0,165
VAIŅODES NOVADS,Preschool.Males,0,82,0,0,82
VAIŅODES NOVADS,Preschool.Females,0,83,0,0,83
VAIŅODES NOVADS,School.All,1,307,0,1,309
VAIŅODES NOVADS,School.Males,1,162,0,0,163
VAIŅODES NOVADS,School.Females,0,145,0,1,146
VAIŅODES NOVADS,Children.All,1,472,0,1,474
VALKAS NOVADS,Preschool.All,15,524,0,0,539
VALKAS NOVADS,Preschool.Males,8,287,0,0,295
VALKAS NOVADS,Preschool.Females,7,237,0,0,244
VALKAS NOVADS,School.All,2,892,0,8,902
VALKAS NOVADS,School.Males,1,471,0,4,476
VALKAS NOVADS,School.Females,1,421,0,4,426
VALKAS NOVADS,Children.All,17,1416,0,8,1441
VARAKĻĀNU NOVADS,Preschool.All,4,170,0,0,174
VARAKĻĀNU NOVADS,Preschool.Males,1,99,0,0,100
VARAKĻĀNU NOVADS,Preschool.Females,3,71,0,0,74
VARAKĻĀNU NOVADS,School.All,2,352,0,0,354
VARAKĻĀNU NOVADS,School.Males,1,190,0,0,191
VARAKĻĀNU NOVADS,School.Females,1,162,0,0,163
VARAKĻĀNU NOVADS,Children.All,6,522,0,0,528
VĀRKAVAS NOVADS,Preschool.All,6,110,0,0,116
VĀRKAVAS NOVADS,Preschool.Males,2,51,0,0,53
VĀRKAVAS NOVADS,Preschool.Females,4,59,0,0,63
VĀRKAVAS NOVADS,School.All,12,187,0,0,199
VĀRKAVAS NOVADS,School.Males,6,94,0,0,100
VĀRKAVAS NOVADS,School.Females,6,93,0,0,99
VĀRKAVAS NOVADS,Children.All,18,297,0,0,315
VECPIEBALGAS NOVADS,Preschool.All,18,216,0,1,235
VECPIEBALGAS NOVADS,Preschool.Males,9,106,0,1,116
VECPIEBALGAS NOVADS,Preschool.Females,9,110,0,0,119
VECPIEBALGAS NOVADS,School.All,18,416,1,5,440
