"Darbinieks","Slodze","Alga"
23445,0.104,62.57
13054,0.104,62.63
19923,0.095,62.86
20035,0.15,63
423,0.121,63.07
17997,0.143,64
4510,0.143,64.03
12465,0.143,64.29
17046,0.156,64.31
24620,0.143,64.54
5923,0,64.55
8813,0.143,64.71
14856,0.119,64.88
18778,0.1,64.96
19097,0.161,65.21
90,0.11,65.43
10373,0.143,65.57
1775,0.156,65.7
14810,0.143,65.71
18850,0.143,65.71
21652,0,65.71
11188,0.157,65.76
1630,0.155,66.34
12736,0.143,66.43
12103,0.113,66.69
12702,0.113,66.69
4940,0.143,67.14
12851,0.16,67.14
13754,0.143,67.14
13994,0.143,67.14
18413,0.143,67.14
21607,0.143,67.21
4417,0.143,67.57
1003,0.15,67.98
6754,0.109,68.22
24485,0.163,68.56
188,0.143,68.57
4939,0.17,68.85
5926,0.113,68.88
19632,0.198,68.95
14587,0.15,69.45
475,0.143,70
3341,0.143,70
12741,0.143,70
24788,0.167,70
15662,0.17,70.38
3179,0.15,70.95
2149,0.17,71.4
19773,0.143,71.45
5672,0.143,71.69
18554,0.143,71.7
21,0.126,71.91
24260,0.2,72
21549,0.143,72.14
13094,0.141,72.16
18166,0.132,72.54
320,0.155,72.83
2054,0.143,72.86
23136,0.16,73
11475,0.175,73.5
5942,0.182,73.71
15483,0.179,73.75
20981,0.118,73.75
9690,0.175,73.8
8744,0.127,74.16
21956,0.173,74.48
3204,0.15,74.5
11180,0.176,74.88
11037,0.143,75
15057,0.118,75.12
9740,0.167,75.32
23500,0.173,75.46
11000,0.143,76.42
8093,0.17,76.5
17133,0.171,76.61
324,0.19,77.14
3651,0.19,77.14
5803,0.19,77.14
10916,0.19,77.14
12882,0.19,77.14
15317,0.19,77.14
16651,0.19,77.14
17170,0.19,77.14
25189,0.19,77.14
20448,0.191,77.15
11160,0.184,77.16
5198,0.143,77.85
5748,0.19,78.1
14827,0.19,78.48
5282,0.19,78.66
1422,0.19,78.67
6051,0.19,78.67
17498,0.19,78.67
19739,0.19,78.67
9,0.19,79.05
21616,0.19,79.05
16428,0.155,79.2
18983,0.183,79.61
13889,0.19,79.8
1138,0.19,80
1274,0.19,80
2548,0.19,80
3185,0.19,80
3295,0.19,80
3730,0.191,80
4815,0.19,80
5324,0.19,80
5743,0.19,80
6659,0.19,80
6771,0.19,80
7400,0.19,80
10814,0.19,80
12956,0.19,80
13717,0.19,80
13961,0.19,80
14006,0.19,80
14476,0.19,80
14521,0.19,80
18897,0.19,80
19437,0.19,80
20498,0.19,80
21104,0.194,80
23134,0.19,80
23181,0.19,80
24550,0.143,80
4834,0.191,80.48
19744,0.161,80.48
14095,0.19,80.95
18906,0.19,80.95
39,0.2,81
24815,0.2,81
14116,0.19,81.33
4811,0.19,81.52
25219,0.19,81.52
15603,0.194,81.6
14790,0.19,82
24106,0.198,82.01
3073,0.175,82.05
17989,0.17,82.52
11262,0.162,82.79
6389,0.19,82.85
2525,0.143,82.86
14374,0.19,82.86
13491,0.19,83.05
1646,0.19,83.43
5020,0.157,83.61
20954,0.19,83.81
19674,0.177,83.98
2808,0.2,84
5411,0.2,84
9615,0.2,84
10205,0.2,84
12165,0.2,84
12356,0.2,84
13458,0.2,84
13555,0.2,84
14356,0.2,84
15335,0.2,84
16862,0.2,84
16918,0.19,84
20185,0.2,84
13843,0.17,84.15
12821,0.201,84.26
8523,0.19,84.38
802,0.184,84.44
10262,0.143,84.49
5734,0,84.72
7504,0.19,84.76
20352,0.177,84.89
20993,0.177,85.2
19004,0.17,85.24
6959,0.19,85.33
7515,0.143,85.65
11028,0.122,85.67
25230,0.204,85.7
7753,0.19,85.71
17313,0.143,85.71
18103,0.19,85.71
18870,0.19,85.71
17946,0.414,85.77
12689,0.2,86
24299,0.19,86.05
20914,0.19,86.06
21852,0.19,86.06
8365,0.19,86.07
11472,0.191,86.07
15160,0.19,86.07
16835,0.19,86.07
20081,0.191,86.09
3400,0.17,86.17
15793,0.213,86.32
14722,0.195,86.63
3202,0.19,86.67
5277,0.19,86.67
14428,0.207,86.84
24974,0.143,87.14
14833,0.17,87.55
21832,0.209,87.6
19735,0.19,87.62
19043,0.217,87.75
1947,0.17,87.92
4301,0.2,88
4687,0.2,88
