 T.SK. VĪRIEŠI,0,45,1,0,46
 T.SK. SIEVIETES,1,57,0,0,58
 7-18(NEIESKAITOT) GADU VECUMĀ,0,160,0,0,160
 T.SK. VĪRIEŠI,0,88,0,0,88
 T.SK. SIEVIETES,0,72,0,0,72
Kopā,1,262,1,0,264
RUGĀJU NOVADS,3,128,0,0,131
 T.SK. VĪRIEŠI,0,65,0,0,65
 T.SK. SIEVIETES,3,63,0,0,66
 7-18(NEIESKAITOT) GADU VECUMĀ,1,262,0,0,263
 T.SK. VĪRIEŠI,0,127,0,0,127
 T.SK. SIEVIETES,1,135,0,0,136
Kopā,4,390,0,0,394
RUNDĀLES NOVADS,22,233,0,0,255
 T.SK. VĪRIEŠI,11,130,0,0,141
 T.SK. SIEVIETES,11,103,0,0,114
 7-18(NEIESKAITOT) GADU VECUMĀ,1,391,0,3,395
 T.SK. VĪRIEŠI,1,206,0,1,208
 T.SK. SIEVIETES,0,185,0,2,187
Kopā,23,624,0,3,650
RŪJIENAS NOVADS,4,296,0,0,300
 T.SK. VĪRIEŠI,2,154,0,0,156
 T.SK. SIEVIETES,2,142,0,0,144
 7-18(NEIESKAITOT) GADU VECUMĀ,9,543,0,1,553
 T.SK. VĪRIEŠI,7,262,0,0,269
 T.SK. SIEVIETES,2,281,0,1,284
Kopā,13,839,0,1,853
SALACGRĪVAS NOVADS,5,417,1,0,423
 T.SK. VĪRIEŠI,1,226,1,0,228
 T.SK. SIEVIETES,4,191,0,0,195
 7-18(NEIESKAITOT) GADU VECUMĀ,2,819,0,4,825
 T.SK. VĪRIEŠI,1,414,0,2,417
 T.SK. SIEVIETES,1,405,0,2,408
Kopā,7,1236,1,4,1248
SALAS NOVADS,2,276,2,0,280
 T.SK. VĪRIEŠI,2,147,0,0,149
 T.SK. SIEVIETES,0,129,2,0,131
 7-18(NEIESKAITOT) GADU VECUMĀ,4,425,2,0,431
 T.SK. VĪRIEŠI,1,237,1,0,239
 T.SK. SIEVIETES,3,188,1,0,192
Kopā,6,701,4,0,711
SALASPILS NOVADS,19,1903,1,8,1931
 T.SK. VĪRIEŠI,8,1002,1,2,1013
 T.SK. SIEVIETES,11,901,0,6,918
 7-18(NEIESKAITOT) GADU VECUMĀ,11,2464,0,24,2499
 T.SK. VĪRIEŠI,2,1265,0,9,1276
 T.SK. SIEVIETES,9,1199,0,15,1223
Kopā,30,4367,1,32,4430
SALDUS NOVADS,28,1721,1,6,1756
 T.SK. VĪRIEŠI,12,865,0,3,880
 T.SK. SIEVIETES,16,856,1,3,876
 7-18(NEIESKAITOT) GADU VECUMĀ,11,3039,0,34,3084
 T.SK. VĪRIEŠI,8,1537,0,16,1561
 T.SK. SIEVIETES,3,1502,0,18,1523
Kopā,39,4760,1,40,4840
SAULKRASTU NOVADS,8,403,1,2,414
 T.SK. VĪRIEŠI,3,202,0,2,207
 T.SK. SIEVIETES,5,201,1,0,207
 7-18(NEIESKAITOT) GADU VECUMĀ,23,589,0,1,613
 T.SK. VĪRIEŠI,13,294,0,1,308
 T.SK. SIEVIETES,10,295,0,0,305
Kopā,31,992,1,3,1027
SĒJAS NOVADS,9,149,0,0,158
 T.SK. VĪRIEŠI,5,67,0,0,72
 T.SK. SIEVIETES,4,82,0,0,86
 7-18(NEIESKAITOT) GADU VECUMĀ,0,270,1,0,271
 T.SK. VĪRIEŠI,0,133,0,0,133
 T.SK. SIEVIETES,0,137,1,0,138
Kopā,9,419,1,0,429
SIGULDAS NOVADS,5,1683,0,1,1689
 T.SK. VĪRIEŠI,4,854,0,1,859
 T.SK. SIEVIETES,1,829,0,0,830
 7-18(NEIESKAITOT) GADU VECUMĀ,6,1969,0,17,1992
 T.SK. VĪRIEŠI,3,974,0,9,986
 T.SK. SIEVIETES,3,995,0,8,1006
Kopā,11,3652,0,18,3681
SKRĪVERU NOVADS,5,238,0,2,245
 T.SK. VĪRIEŠI,2,131,0,0,133
 T.SK. SIEVIETES,3,107,0,2,112
 7-18(NEIESKAITOT) GADU VECUMĀ,0,357,0,5,362
 T.SK. VĪRIEŠI,0,162,0,1,163
 T.SK. SIEVIETES,0,195,0,4,199
 Kopā,5,595,0,7,607
SKRUNDAS NOVADS,21,273,1,2,297
 T.SK. VĪRIEŠI,12,144,1,1,158
 T.SK. SIEVIETES,9,129,0,1,139
 7-18(NEIESKAITOT) GADU VECUMĀ,5,635,0,1,641
 T.SK. VĪRIEŠI,4,314,0,1,319
 T.SK. SIEVIETES,1,321,0,0,322
Kopā,26,908,1,3,938
SMILTENES NOVADS,22,915,0,1,938
