Location,Category,Pointing,Declaring,Registering,RegistrationNotValid,Total
DAGDAS NOVADS,LATVIJAS PAGAIDU AIZSARDZIBA,0,0,0,0,0
DAGDAS NOVADS,LATVIJAS NEPILSONIS,1,659,1,13,674
DAGDAS NOVADS,LATVIJAS BEGLIS,0,0,0,0,0
DAGDAS NOVADS,LATVIJAS BEZVALSTNIEKS,0,0,0,0,0
DAGDAS NOVADS,LATVIJAS ALTERNATIVAIS,0,0,0,0,0
DAGDAS NOVADS,PAREJIE,0,106,0,0,106
DAUGAVPILS NOVADS,LATVIJAS PILSONIS,71,22123,3,201,22398
DAUGAVPILS NOVADS,LATVIJAS PAGAIDU AIZSARDZIBA,0,0,0,0,0
DAUGAVPILS NOVADS,LATVIJAS NEPILSONIS,7,3356,0,60,3423
DAUGAVPILS NOVADS,LATVIJAS BEGLIS,0,0,0,0,0
DAUGAVPILS NOVADS,LATVIJAS BEZVALSTNIEKS,0,2,0,0,2
DAUGAVPILS NOVADS,LATVIJAS ALTERNATIVAIS,0,0,0,0,0
DAUGAVPILS NOVADS,PAREJIE,2,719,0,4,725
DOBELES NOVADS,LATVIJAS PILSONIS,26,20137,2,310,20475
DOBELES NOVADS,LATVIJAS PAGAIDU AIZSARDZIBA,0,0,0,0,0
DOBELES NOVADS,LATVIJAS NEPILSONIS,4,2414,0,103,2521
DOBELES NOVADS,LATVIJAS BEGLIS,0,0,0,0,0
DOBELES NOVADS,LATVIJAS BEZVALSTNIEKS,0,1,0,0,1
DOBELES NOVADS,LATVIJAS ALTERNATIVAIS,0,0,0,0,0
DOBELES NOVADS,PAREJIE,12,256,0,10,278
DUNDAGAS NOVADS,LATVIJAS PILSONIS,44,4428,1,26,4499
DUNDAGAS NOVADS,LATVIJAS PAGAIDU AIZSARDZIBA,0,0,0,0,0
DUNDAGAS NOVADS,LATVIJAS NEPILSONIS,0,79,0,1,80
DUNDAGAS NOVADS,LATVIJAS BEGLIS,0,0,0,0,0
DUNDAGAS NOVADS,LATVIJAS BEZVALSTNIEKS,0,0,0,0,0
DUNDAGAS NOVADS,LATVIJAS ALTERNATIVAIS,0,0,0,0,0
DUNDAGAS NOVADS,PAREJIE,1,15,0,1,17
DURBES NOVADS,LATVIJAS PILSONIS,5,3095,0,18,3118
DURBES NOVADS,LATVIJAS PAGAIDU AIZSARDZIBA,0,0,0,0,0
DURBES NOVADS,LATVIJAS NEPILSONIS,0,94,0,1,95
DURBES NOVADS,LATVIJAS BEGLIS,0,0,0,0,0
DURBES NOVADS,LATVIJAS BEZVALSTNIEKS,0,0,0,0,0
DURBES NOVADS,LATVIJAS ALTERNATIVAIS,0,0,0,0,0
DURBES NOVADS,PAREJIE,0,13,0,0,13
ENGURES NOVADS,LATVIJAS PILSONIS,37,7328,0,52,7417
ENGURES NOVADS,LATVIJAS PAGAIDU AIZSARDZIBA,0,0,0,0,0
ENGURES NOVADS,LATVIJAS NEPILSONIS,1,317,0,18,336
ENGURES NOVADS,LATVIJAS BEGLIS,0,1,0,0,1
ENGURES NOVADS,LATVIJAS BEZVALSTNIEKS,0,0,0,0,0
ENGURES NOVADS,LATVIJAS ALTERNATIVAIS,0,0,0,0,0
